DATE,OPEN,HIGH,LOW,CLOSE,ADJ CLOSE,VOLUME,
"Jan 30, 2026",191.21,194.49,189.47,191.13,191.13,"17,89,36,900",
"Jan 29, 2026",191.34,193.48,186.06,192.51,192.51,"17,17,64,400",
"Jan 28, 2026",191.27,192.35,189.84,191.52,191.52,"14,85,52,700",
"Jan 27, 2026",187.24,190,185.7,188.52,188.52,"14,37,11,600",
"Jan 26, 2026",187.16,189.12,185.99,186.47,186.47,"12,47,99,600",
"Jan 23, 2026",187.5,189.6,186.82,187.67,187.67,"14,27,48,100",
"Jan 22, 2026",184.75,186.17,183.93,184.84,184.84,"13,96,36,600",
"Jan 21, 2026",179.05,185.38,178.4,183.32,183.32,"20,03,81,000",
"Jan 20, 2026",181.9,182.38,177.61,178.07,178.07,"22,33,45,300",
"Jan 16, 2026",189.08,190.44,186.08,186.23,186.23,"18,79,67,200",
"Jan 15, 2026",186.5,189.7,186.33,187.05,187.05,"20,61,88,600",
"Jan 14, 2026",184.32,184.46,180.8,183.14,183.14,"15,95,86,100",
"Jan 13, 2026",185,188.11,183.4,185.81,185.81,"16,01,28,900",
"Jan 12, 2026",183.22,187.12,183.02,184.94,184.94,"13,79,68,500",
"Jan 9, 2026",185.08,186.34,183.67,184.86,184.86,"13,13,27,500",
"Jan 8, 2026",189.11,189.55,183.71,185.04,185.04,"17,24,57,000",
"Jan 7, 2026",188.57,191.37,186.56,189.11,189.11,"15,35,43,200",
"Jan 6, 2026",190.52,192.17,186.82,187.24,187.24,"17,68,62,600",
"Jan 5, 2026",191.76,193.63,186.15,188.12,188.12,"18,35,29,700",
"Jan 2, 2026",189.84,192.93,188.26,188.85,188.85,"14,82,40,500",
"Dec 31, 2025",189.57,190.56,186.49,186.5,186.5,"12,01,00,500",
"Dec 30, 2025",188.24,188.99,186.93,187.54,187.54,"9,76,87,300",
"Dec 29, 2025",187.71,188.76,185.91,188.22,188.22,"12,00,06,100",
"Dec 26, 2025",189.92,192.69,188,190.53,190.53,"13,97,40,300",
"Dec 24, 2025",187.94,188.91,186.59,188.61,188.61,"6,55,28,500",
"Dec 23, 2025",182.97,189.33,182.9,189.21,189.21,"17,48,73,600",
"Dec 22, 2025",183.92,184.16,182.35,183.69,183.69,"12,90,64,400",
"Dec 19, 2025",176.67,181.45,176.34,180.99,180.99,"32,49,25,900",
"Dec 18, 2025",174.53,176.15,171.82,174.14,174.14,"17,60,96,000",
"Dec 17, 2025",176.1,176.13,170.31,170.94,170.94,"22,27,75,500",
"Dec 16, 2025",176.26,178.49,174.9,177.72,177.72,"14,85,88,100",
"Dec 15, 2025",177.94,178.42,175.03,176.29,176.29,"16,47,75,600",
"Dec 12, 2025",181.11,182.82,174.62,175.02,175.02,"20,42,74,900",
"Dec 11, 2025",180.28,181.32,176.62,180.93,180.93,"18,21,36,600",
"Dec 10, 2025",184.97,185.48,182.04,183.78,183.78,"16,27,85,400",
"Dec 9, 2025",185.56,185.72,183.32,184.97,184.97,"14,47,19,700",
"Dec 8, 2025",182.64,188,182.4,185.55,185.55,"20,43,78,100",
"Dec 5, 2025",183.89,184.66,180.91,182.41,182.41,"14,39,71,100",
"Dec 4, 2025",0.01,,,,,,
"Dec 4, 2025",181.62,184.52,179.96,183.38,183.38,"16,73,64,900",
"Dec 3, 2025",181.08,182.45,179.11,179.59,179.58,"16,51,38,000",
"Dec 2, 2025",181.76,185.66,180,181.46,181.45,"18,26,32,200",
"Dec 1, 2025",174.76,180.3,173.68,179.92,179.91,"18,81,31,000",
"Nov 28, 2025",179.01,179.29,176.5,177,176.99,"12,13,32,800",
"Nov 26, 2025",181.63,182.91,178.24,180.26,180.25,"18,38,52,000",
